"DAY","CELL_NAME","ENBNAME","FDD_TDD","DL_EARFCN","MMM","LTE_CONG"
16/07/23,"KBG093_TDD_L3","KBG093","CELL_TDD",41825,"07-2023",0
16/07/23,"TEM054_L1","TEM054","CELL_FDD",1850,"07-2023",0
16/07/23,"TAR981_L9","TAR981","CELL_FDD",6200,"07-2023",0
16/07/23,"FES957_L5","FES957","CELL_FDD",3250,"07-2023",0
16/07/23,"FES1163_L2","FES1163","CELL_FDD",1850,"07-2023",0
16/07/23,"MOH685_L3","MOH685","CELL_FDD",1850,"07-2023",0
16/07/23,"SET1094_L6","SET1094","CELL_FDD",3250,"07-2023",0
16/07/23,"RAB167_L8","RAB167","CELL_FDD",6200,"07-2023",0
16/07/23,"RAB096_L9","RAB096","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1104_L9","MAR1104","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1004_L6","CAS1004","CELL_FDD",3250,"07-2023",0
16/07/23,"FES1008_L5","FES1008","CELL_FDD",3250,"07-2023",0
16/07/23,"ARF007_L1","ARF007","CELL_FDD",1850,"07-2023",0
16/07/23,"MEK403_L2","MEK403","CELL_FDD",1850,"07-2023",0
16/07/23,"MOH035_TDD_L1","MOH035","CELL_TDD",41825,"07-2023",0
16/07/23,"FE020_TDD_L6","FE020","CELL_TDD",42825,"07-2023",0
16/07/23,"CAS1504_L7","CAS1504","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1270_L8","CAS1270","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1233_L9","CAS1233","CELL_FDD",6200,"07-2023",0
16/07/23,"CAS1117_L8","CAS1117","CELL_FDD",6200,"07-2023",0
16/07/23,"TRT823_L9","TRT823","CELL_FDD",6200,"07-2023",0
16/07/23,"MAR1031_L1","MAR1031","CELL_FDD",1850,"07-2023",0
16/07/23,"RAB998_L3","RAB998","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1099_L2","CAS1099","CELL_FDD",1850,"07-2023",1
16/07/23,"CAS1232_L2","CAS1232","CELL_FDD",1850,"07-2023",0
16/07/23,"BEN937_L1","BEN937","CELL_FDD",1850,"07-2023",0
16/07/23,"AGA1030_L2","AGA1030","CELL_FDD",1850,"07-2023",0
16/07/23,"MAR045_TDD_L2","MAR045","CELL_TDD",41825,"07-2023",0
16/07/23,"BRK826_L2","BRK826","CELL_FDD",1850,"07-2023",0
16/07/23,"MRT013_L2","MRT013","CELL_FDD",1850,"07-2023",0
16/07/23,"AIT004_L3","AIT004","CELL_FDD",1850,"07-2023",0
16/07/23,"CAS1161_TDD_L1","CAS1161","CELL_TDD",41825,"07-2023",0
16/07/23,"FES981_L9","FES981","CELL_FDD",6200,"07-2023",0
16/07/23,"FES949_L4","FES949","CELL_FDD",3250,"07-2023",0
16/07/23,"MEK392_L5","MEK392","CELL_FDD",3250,"07-2023",0
16/07/23,"CAS1129_L1","CAS1129","CELL_FDD",1850,"07-2023",0
